Name	Sex	Confidence	Concentration	Responsiveness	Initiative	Excitability	Hearing Sensitivity	Body Sensitivity	CR	IP	PP	CR	MP	PP	IP	HG	H1	H2	ACT	CBDC Elimination?	CBDC Outcome Reason	BehElim	MedElim	Source
04-0677	Male	5	4.5	4.5	5	4	5	5	NA	NA	NA	5	4	5	5	4	5	5	5	0	0	0	0	F1
05-0477	Female	4.5	3.5	4	4	5	5	5	2	1	1	5	3	4	3	5	5	5	5	0	0	0	0	TSA
05-0484	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
05-1070	Female	3.5	3.5	5	5	5	3	4	3	2	3	5	4	4	3	4	5	5	5	0	0	0	0	DoD
05-1586	Female	4	3	4	5	4	5	5	3	3	1	5	4	2	3	3	5	2	5	0	0	0	0	TSA
06-0500	Female	5	4	4	5	2	5	5	3	1	3	5	4	5	5	5	5	5	5	0	0	0	0	TSA
06-0504	Male	5	3	4	5	2	5	5	3	3	3	5	3	3	3	5	2	5	5	0	0	0	0	TSA
06-1190	Male	4	3	5	4	5	5	5	2	3	3	4	5	3	5	5	5	5	3	0	0	0	0	TSA
06-1193	Female	5	3	4	4	5	5	5	2	1	1	4	5	5	5	4	5	5	5	0	0	0	0	TSA
06-1851	Male	5	3	3	5	4	5	5	3	3	3	5	5	5	3	4	5	5	5	0	0	0	0	TSA
07-0005	Male	3	3	3	3	3	5	3	2	2	2	4	5	5	5	4	4	5	5	0	0	0	0	TSA
07-0613	Female	5	4	5	5	5	5	5	3	2	3	5	3	5	4	4	5	5	5	0	0	0	0	TSA
07-0636	Male	5	4	3	4	4	5	5	3	3	2	5	3	3	3	5	5	5	5	0	0	0	0	TSA
07-1038	Male	5	3	5	3	5	5	5	3	2	3	5	4	3	5	2	5	5	4	0	0	0	0	TSA
07-1052	Male	5	3	3	4	5	5	5	3	3	3	4	5	5	5	4	5	5	5	0	0	0	0	TSA
07-1089	Male	3	4	3	3	5	5	5	3	2	1	4	2	3	3	4	3	2	4	1	Beh	1	0	F1
07-1532	Male	5	3	5	4	5	5	5	3	2	3	5	4	5	3	4	5	5	5	0	0	0	0	TSA
07-1537	Female	4	4	5	5	4	5	5	3	3	3	5	4	4	3	5	5	4	5	0	0	0	0	TSA
07-1556	Male	3	3	5	4	4	5	5	3	3	3	5	4	5	5	4	5	5	5	0	0	0	0	TSA
08-0456	Female	5	3	5	5	4	5	5	3	3	3	5	4	5	5	4	5	5	5	0	0	0	0	TSA
08-0460	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
08-0463	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
08-0646	Female	5	5	5	5	5	5	5	3	2	2	5	4	4	3	4	5	4	5	0	0	0	0	TSA
08-1064	Male	4	4	4	5	4	5	5	3	2	2	5	4	2	4	4	5	5	5	0	0	0	0	TSA
08-1065	Female	4	3	5	5	4	5	5	3	2	2	5	4	4	5	3	5	5	5	0	0	0	0	TSA
08-1167	Female	5	4	5	5	5	5	5	3	2	3	5	4	4	4	5	5	1	5	0	0	0	0	TSA
08-1474	Male	5	3	4	5	4	5	5	3	3	2	5	4	2	5	4	5	5	5	0	0	0	0	TSA
08-1580	Male	4	3	5	4	5	5	3	2	1	2	4	3	4	3	5	5	3	5	0	0	0	0	TSA
09-0306	Female	4	3	4	5	4	5	5	3	3	3	5	5	5	5	5	5	5	5	0	0	0	0	TSA
09-0309	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
09-0346	Female	5	4	4	5	5	5	5	3	3	3	5	4	5	5	4	4	5	5	0	0	0	0	TSA
09-0602	Male	5	4	4	5	4	5	5	3	3	3	5	3	5	4	5	5	5	5	0	0	0	0	TSA
09-0606	Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TSA
09-0607	Female	5	5	5	5	5	5	5	3	3	3	5	3	5	4	4	5	5	5	0	0	0	0	TSA
